id,party,list_pos,electorate,name
228,Labour Party,38,Takanini,"LEAVASA, Anae Neru"
271,National Party,13,Mt Albert,"LEE, Melissa"
240,Labour Party,50,Whanganui,"LEWIS, Steph"
46,ACT New Zealand,47,West Coast-Tasman,"LILLEY, Kelly"
136,Freedoms NZ,30,Wellington Central,"LIM, Meg"
134,Freedoms NZ,28,Ōhāriu,"LIM, Patrick"
202,Labour Party,12,,"LITTLE, Andrew"
450,,,Auckland Central,"LIU, Andi Shen"
283,National Party,25,,"LOHENI, Akenese Loreta"
178,Green Party,37,Rangitīkei,"LONG, Bernard"
230,Labour Party,40,Tukituki,"LORCK, Anna"
278,National Party,20,,"LU, Nancy"
259,National Party,1,Botany,"LUXON, Christopher"
10,ACT New Zealand,11,Bay of Plenty,"LUXTON, Cameron"
209,Labour Party,19,Rangitata,"LUXTON, Jo"
84,Aotearoa Legalise Cannabis Party,7,Northland,"LYE, Jeffrey"
151,Green Party,10,Te Tai Tokerau,"LYNDON, Hūhana"
55,ACT New Zealand,56,Wigram,"LYNN, Ankita"
342,New Nation Party,9,,"MACKIE, Angela Joan B"
125,Freedoms NZ,19,Southland,"MACLEAN, Naomi"
504,National Party,,New Plymouth,"MACLEOD, David"
179,Green Party,38,Bay of Plenty,"MACMILLAN, Matthew"
583,Labour Party,,Hauraki-Waikato,"MAHUTA, Nanaia"
396,Te Pāti Māori,4,Hauraki-Waikato,"MAIPI-CLARKE, Hana-Rawhiti"
95,DemocracyNZ,2,Waimakariri,"MALCOLM, Gordon"
424,The Opportunities Party (TOP),1,Ilam,"MANJI, Raf"
445,Women’s Rights Party,9,,"MANN, Catherine"
114,Freedoms NZ,8,New Lynn,"MANN, Phineas"
88,Aotearoa Legalise Cannabis Party,11,Tukituki,"MANNING, Romana (Marnz)"
348,New Zealand First Party,5,Kaipara ki Mahurangi,"MARCROFT, Jenny"
573,New Zealand Loyal,,West Coast-Tasman,"MARINKOVICH, Sebastian"
47,ACT New Zealand,48,,"MATTHEWS, Kevin"
206,Labour Party,16,Wairarapa,"McANULTY, Kieran"
509,National Party,,Northland,"McCALLUM, Grant"
540,Labour Party,,Southland,"McCALLUM, Simon"
485,,,Kaikōura,"McCASKEY, John"
270,National Party,12,Rotorua,"McCLAY, Todd"
31,ACT New Zealand,32,East Coast Bays,"McCOOK, Michael"
22,ACT New Zealand,23,Papakura,"McCORMICK, Mike"
180,Green Party,39,Kaikōura,"McCUBBIN, Richard"
91,Aotearoa Legalise Cannabis Party,14,Dunedin,"McDERMOTT, Adrian"
92,Aotearoa Legalise Cannabis Party,15,,"McDONALD, Anituhia"
531,,,Rongotai,"McDONALD, Don S"
60,ACT New Zealand,61,New Plymouth,"McGECHAN, Bruce"
2,ACT New Zealand,3,Rongotai,"McKEE, Nicole"
420,Te Pāti Māori,28,Manurewa,"MCLEAN, Rangi"
217,Labour Party,27,Banks Peninsula,"McLELLAN, Tracey"
417,Te Pāti Māori,25,,"MCLEOD, Te Waka Ruapounamu"
61,Animal Justice Party,1,Botany,"McNEIL, Robert"
580,,,Wigram,"McTAGUE, Geoff"
385,NewZeal,4,Banks Peninsula,"MEAD, Lisa Marie"
527,National Party,,Rangitata,"MEAGER, James"
48,ACT New Zealand,49,Taieri,"MEFFAN, Burty"
149,Green Party,8,Mt Albert,"MENENDEZ MARCH, Ricardo"
33,ACT New Zealand,34,Napier,"MILEWSKI, Pawel"
371,New Zealand First Party,28,Rongotai,"MILLS, Geoff"
269,National Party,11,Whangaparāoa,"MITCHELL, Mark"
11,ACT New Zealand,12,Panmure-Ōtāhuhu,"MODKOVA, Antonia"
129,Freedoms NZ,23,Panmure-Ōtāhuhu,"MOKARAKA, Karl"
368,New Zealand First Party,25,Papakura,"MONDS, Robert"
311,National Party,53,Southland,"MOONEY, Joseph"
127,Freedoms NZ,21,,"MOUNTJOY, Grant"
412,Te Pāti Māori,20,,"MOXON, Tureiti Haromi"
181,Green Party,40,Ōtaki,"MUHAMMAD, Ali"
245,Labour Party,55,Whangaparāoa,"MULLER PALLARÈS, Estefania"
301,National Party,43,Auckland Central,"MURALIDHAR, Mahesh"
354,New Zealand First Party,11,Bay of Plenty,"MURFITT, Kirsten"
27,ACT New Zealand,28,Mt Albert,"MURPHY, Ollie"
309,National Party,51,Rongotai,"MUTHU, Karunā"
534,,,Rotorua,"NAERA, Jonn"
299,National Party,41,Takanini,"NAKHLE, Rima"
495,,,Mt Albert,"NAUFAHU, Tesi"
428,The Opportunities Party (TOP),5,Upper Harbour,"NAVOT, Shai"
182,Green Party,41,Te Atatū,"NEUMANN, Zooey"
340,New Nation Party,7,,"NEWBOULD, Jan"
558,New Zealand Loyal,,Upper Harbour,"NEWMAN, Chris"
183,Green Party,42,Whangaparāoa,"NEWMAN, Lorraine"
